"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5745","Редактирование существующей статьи","chromium","Sat Nov 08 18:33:21 UTC 2025","passed","Sat Nov 08 18:33:27 UTC 2025","Статьи пользователя","","",""
"","78","05 Получить информацию todos по ID GET /todos/{Id}","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","84","19 Отредактировать существующее todo в системе полностью PUT /todos/{id}","chromium","Sat Nov 08 18:33:14 UTC 2025","passed","Sat Nov 08 18:33:14 UTC 2025","API challenge","","",""
"","84","15 Создание todo с дополнительным параметром priority POST /todos","chromium","Sat Nov 08 18:33:14 UTC 2025","passed","Sat Nov 08 18:33:14 UTC 2025","API challenge","","",""
"","76","17 Обновление существующего todo POST /todos/{id}","chromium","Sat Nov 08 18:33:14 UTC 2025","passed","Sat Nov 08 18:33:14 UTC 2025","API challenge","","",""
"","76","27 Получить список todos с Any форматом GET /todos","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
"","149","02 Получить список заданий GET /challenges","chromium","Sat Nov 08 18:33:12 UTC 2025","passed","Sat Nov 08 18:33:12 UTC 2025","API challenge","","",""
"","71","23 Удаление существующущего todo в системе DELETE /todos/{id}","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
"","3795","Регистрация пользователя","chromium","Sat Nov 08 18:33:43 UTC 2025","passed","Sat Nov 08 18:33:47 UTC 2025","Регистрация","","",""
"","72","25 Получить список todos в XML формате GET /todos","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
"","73","18 Обновление несуществующего todo POST /todos/{id}","chromium","Sat Nov 08 18:33:14 UTC 2025","passed","Sat Nov 08 18:33:14 UTC 2025","API challenge","","",""
"","3788","Проверка имени пользователя в профиле","chromium","Sat Nov 08 18:33:32 UTC 2025","passed","Sat Nov 08 18:33:36 UTC 2025","Профиль пользователя","","",""
"","83","04 Получить список todo not plural GET /todo","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","70","29 Получить список todos без Accept Header GET /todos","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
"","77","06 Получить информацию todos по несуществующему ID GET /todos/{Id}","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","79","03 Получить список todos GET /todos","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","217","08 Создание POST /todos","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","71","26 Получить список todos с JSON форматом GET /todos","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
"","79","07 Получить headers todos HEAD /todos","chromium","Sat Nov 08 18:33:13 UTC 2025","passed","Sat Nov 08 18:33:13 UTC 2025","API challenge","","",""
"","72","22 Отредактировать существующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 18:33:15 UTC 2025","passed","Sat Nov 08 18:33:15 UTC 2025","API challenge","","",""
