"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","21 Отредактировать существующее todo в системе без параметра title PUT /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","33","30 Получить список todos с неподдерживаемым Accept Header GET /todos","chromium","Sat Nov 08 18:02:11 UTC 2025","passed","Sat Nov 08 18:02:11 UTC 2025","API challenge","","",""
"","43","10 Создание todo с параметром doneStatus содержащим недопустимое значение POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","34","18 Обновление несуществующего todo POST /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","31","28 Получить список todos с XML pref форматом GET /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","38","17 Обновление существующего todo POST /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","5315","Редактирование существующей статьи","chromium","Sat Nov 08 18:02:15 UTC 2025","passed","Sat Nov 08 18:02:21 UTC 2025","Статьи пользователя","","",""
"","36","05 Получить информацию todos по ID GET /todos/{Id}","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
"","40","04 Получить список todo not plural GET /todo","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
"","6115","Изменение данных пользователя","chromium","Sat Nov 08 18:02:29 UTC 2025","passed","Sat Nov 08 18:02:35 UTC 2025","Профиль пользователя","","",""
"","37","07 Получить headers todos HEAD /todos","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
"","33","22 Отредактировать существующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","44","06 Получить информацию todos по несуществующему ID GET /todos/{Id}","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
"","33","20 Отредактировать существующее todo в системе частично PUT /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","36","13 Создание todo с максимальными значениями title и description POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","46","19 Отредактировать существующее todo в системе полностью PUT /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","36","14 Создание todo с превышением максимального количества символов в названии POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","4354","Добавление новой статьи","chromium","Sat Nov 08 18:02:11 UTC 2025","passed","Sat Nov 08 18:02:15 UTC 2025","Статьи пользователя","","",""
"","3061","Регистрация пользователя","chromium","Sat Nov 08 18:02:35 UTC 2025","passed","Sat Nov 08 18:02:38 UTC 2025","Регистрация","","",""
"","37","11 Создание todo с title > 50 символов POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","34","16 Отредактировать несуществующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","33","29 Получить список todos без Accept Header GET /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:11 UTC 2025","API challenge","","",""
"","4865","Добавление комментария к статье","chromium","Sat Nov 08 18:02:21 UTC 2025","passed","Sat Nov 08 18:02:25 UTC 2025","Статьи пользователя","","",""
"","32","23 Удаление существующущего todo в системе DELETE /todos/{id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","38","09 Получить информацию по todos со статусом Done GET /todos/{Id}","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","46","15 Создание todo с дополнительным параметром priority POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","3256","Проверка имени пользователя в профиле","chromium","Sat Nov 08 18:02:25 UTC 2025","passed","Sat Nov 08 18:02:29 UTC 2025","Профиль пользователя","","",""
"","32","27 Получить список todos с Any форматом GET /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","124","08 Создание POST /todos","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","38","25 Получить список todos в XML формате GET /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","42","12 Создание todo с description > 200 символов POST /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","33","26 Получить список todos с JSON форматом GET /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","32","24 Проверка доступных типов методов API /todos","chromium","Sat Nov 08 18:02:10 UTC 2025","passed","Sat Nov 08 18:02:10 UTC 2025","API challenge","","",""
"","86","02 Получить список заданий GET /challenges","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
"","39","03 Получить список todos GET /todos","chromium","Sat Nov 08 18:02:09 UTC 2025","passed","Sat Nov 08 18:02:09 UTC 2025","API challenge","","",""
