"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","25 Получить список todos в XML формате GET /todos","chromium","Sat Nov 08 17:54:45 UTC 2025","passed","Sat Nov 08 17:54:45 UTC 2025","API challenge","","",""
"","90","16 Отредактировать несуществующее todo в системе PUT /todos/{id}","chromium","Sat Nov 08 17:54:44 UTC 2025","passed","Sat Nov 08 17:54:44 UTC 2025","API challenge","","",""
"","90","04 Получить список todo not plural GET /todo","chromium","Sat Nov 08 17:54:43 UTC 2025","passed","Sat Nov 08 17:54:43 UTC 2025","API challenge","","",""
"","90","30 Получить список todos с неподдерживаемым Accept Header GET /todos","chromium","Sat Nov 08 17:54:46 UTC 2025","passed","Sat Nov 08 17:54:46 UTC 2025","API challenge","","",""
"","91","05 Получить информацию todos по ID GET /todos/{Id}","chromium","Sat Nov 08 17:54:43 UTC 2025","passed","Sat Nov 08 17:54:43 UTC 2025","API challenge","","",""
"","4733","Добавление новой статьи","chromium","Sat Nov 08 17:54:46 UTC 2025","passed","Sat Nov 08 17:54:50 UTC 2025","Статьи пользователя","","",""
"","93","17 Обновление существующего todo POST /todos/{id}","chromium","Sat Nov 08 17:54:44 UTC 2025","passed","Sat Nov 08 17:54:44 UTC 2025","API challenge","","",""
"","3678","Регистрация пользователя","chromium","Sat Nov 08 17:55:15 UTC 2025","passed","Sat Nov 08 17:55:18 UTC 2025","Регистрация","","",""
"","90","21 Отредактировать существующее todo в системе без параметра title PUT /todos/{id}","chromium","Sat Nov 08 17:54:45 UTC 2025","passed","Sat Nov 08 17:54:45 UTC 2025","API challenge","","",""
"","88","28 Получить список todos с XML pref форматом GET /todos","chromium","Sat Nov 08 17:54:45 UTC 2025","passed","Sat Nov 08 17:54:45 UTC 2025","API challenge","","",""
"","3620","Проверка имени пользователя в профиле","chromium","Sat Nov 08 17:55:02 UTC 2025","passed","Sat Nov 08 17:55:06 UTC 2025","Профиль пользователя","","",""
"","89","29 Получить список todos без Accept Header GET /todos","chromium","Sat Nov 08 17:54:45 UTC 2025","passed","Sat Nov 08 17:54:46 UTC 2025","API challenge","","",""
